;User;Rule Name;Goal;ECA;Environment;Object/service;Functionality;Operator;Value;Next Operator;Context
0;1;Auto-flush;energy saving;evento;bathroom;toilet;rilevato movimento;uguale;TRUE;;
1;1;Auto-flush;energy saving;azione;bathroom;toilet;sciacquone;uguale;TRUE;;
2;1;Kitchen Safety;energy saving /security;condizione;kitchen;movimento;presenza;uguale;FALSE;;
3;1;Kitchen Safety;energy saving /security;azione;kitchen;luce;si spegne;uguale;TRUE;AND;
4;1;Kitchen Safety;energy saving /security;azione;kitchen;sistema di sicurezza;si accende;uguale;TRUE;;
5;1;Wake up Buttercup;wellbeing/health;evento;bedroom;data e ora;orario;uguale;7.00am;AND;
6;1;Wake up Buttercup;wellbeing/health;condizione;bedroom;movimento;rilevato movimento;per;piu di 15minuti;/;
7;1;Wake up Buttercup;wellbeing/health;azione;bedroom;tapparelle;si aprono;uguale;TRUE;;
8;1;Rainy day;comfort;condizione;no;meteo di domani;pioggia;uguale;TRUE;AND;
9;1;Rainy day;comfort;condizione;no;calendario;evento per domani;uguale;TRUE;/;
10;1;Rainy day;comfort;azione;home;tapparelle;impostare chiusura;uguale;ALLE *ORARIO IN CUI PIOVE*;AND;
11;1;Rainy day;comfort;azione;no;SMS;avvertire sul mal tempo;uguale;INVIA;;
12;1;Garage door;comfort;evento;garage;macchina;entra nel garage;uguale;TRUE;AND;
13;1;Garage door;comfort;condizione;garage;movimento;assenza di movimento;per;10 SECONDI;/;
14;1;Garage door;comfort;azione;garage;porta del garage;si chiude;uguale;TRUE;AND;
15;1;Garage door;comfort;azione;garage;luci;si accendono;uguale;TRUE;;
16;1;Lights off;energy saving;evento;living room;movimento;presenza;uguale;FALSE;AND;
17;1;Lights off;energy saving;condizione;living room;movimento;assenza di movimento;per;5 MINUTI;AND;
18;1;Lights off;energy saving;condizione;living room;TV e luci;accese;uguale;TRUE;;
19;1;Lights off;energy saving;azione;living room;TV;spegnere;uguale;TRUE;AND;
20;1;Lights off;energy saving;azione;living room;Luci;spegnere;uguale;TRUE;;
21;2;notifica visita;security;evento;outside home;citofono;suonare ;uguale;TRUE;AND;
22;2;notifica visita;security;condizione;home;posizione;posizione utente;uguale;fuori casa;;
23;2;notifica visita;security;azione;no;avviso;manda notifica;uguale ;ON;;
24;2;pacchetto del buongiorno;comfort;condizione;bathroom;Doccia ;Aperta;uguale;TRUE;AND;
25;2;pacchetto del buongiorno;comfort;condizione;bathroom;Data e Ora;controllo orario;uguale ;tra le 07:00 e le 09:00;;
26;2;pacchetto del buongiorno;comfort;azione;bathroom ;riscaldamento;attiva riscaldamento;uguale;ON;AND;
27;2;pacchetto del buongiorno;comfort;azione;bathroom;ALEXA;Notizie del giorno ;uguale;ON;;
28;2;GAME OVER ;wellbeing;condizione;dedicated room;Console;Accesa;uguale;TRUE;AND;
29;2;GAME OVER ;wellbeing;condizione;dedicated room;Sensore VR;Indossato;uguale;TRUE;;
30;2;GAME OVER ;wellbeing;azione;dedicated room;porta della stanza;Chiusura;uguale ;TRUE;AND;
31;2;GAME OVER ;wellbeing;azione;dedicated room;Avviso ;avvisa l'utente ;uguale;dopo 2 ore;;
32;2;Back to sci-fi;comfort;evento;dedicated room;porta della stanza;chiusa;uguale;TRUE;AND;
33;2;Back to sci-fi;comfort;condizione;dedicated room;proiettore;accesso;uguale;TRUE;AND;
34;2;Back to sci-fi;comfort;condizione;dedicated room;proiettore;proietta un film ;uguale;TRUE;;
35;2;Back to sci-fi;comfort;azione;dedicated room;luci;spegnimento ;uguale ;TRUE;AND;
36;2;Back to sci-fi;comfort;azione;dedicated room;cellulare;modalità silenziosa;uguale ;TRUE;;
37;3;Aspiratore Cucina;wellbeing/comfort;evento;kitchen;movimento;rilevato uso piano cottura;uguale;TRUE;WHILE;
38;3;Aspiratore Cucina;wellbeing/comfort;azione;kitchen;aspiratore piano cottura;accensione;uguale;TRUE;;
39;3;Controllo Temperatura e Aria;health;condizione;home;misuratore temperatura;temperatura interna;minore uguale di ;17°;;
40;3;Controllo Temperatura e Aria;health;azione;home;riscaldamenti;accensione/aumento calore;uguale;TRUE;AND;
41;3;Controllo Temperatura e Aria;health;azione;home;misuratore qualità aria;controllo umidità;minore di ;35%;;
42;3;Controllo Temperatura e Aria;health;azione;home;umidificatore;accensione;uguale;TRUE;;
43;3;Robot Aspirapolvere;wellbeing/comfort;evento;home;pavimento;controllo umidità;minore uguale di;35%;AND;
44;3;Robot Aspirapolvere;wellbeing/comfort;condizione;no;robot aspirapolvere;timer tempo in OFF;maggiore di;48h;;
45;3;Robot Aspirapolvere;wellbeing/comfort;azione;home;robot aspirapolvere;accensione;uguale;TRUE;;
46;3;Sistema Antifurto;security;condizione;outside home;telecamera e sensori;individua movimento;uguale;TRUE;AND;Dopo le 22:00
47;3;Sistema Antifurto;security;condizione;outside home;telecamera e sensori;individua poss. intrusione;uguale;TRUE;;Dopo le 22:00
48;3;Sistema Antifurto;security;azione;outside home;allarme antifuro;attivazione;uguale;TRUE;AND;Dopo le 22:00
49;3;Sistema Antifurto;security;azione;no;telefono;notifica;utenti casa;"""ATTENZIONE TENTATA INTRUSIONE""";;Dopo le 22:00
50;3;Festa in Casa;social;condizione;no;calendario;Festa in casa oggi;uguale;TRUE;AND;Contesto di festa
51;3;Festa in Casa;social;evento;no;calendario;orario di inizio ;uguale;TRUE;;Contesto di festa
52;3;Festa in Casa;social;azione;home;altoparlanti;riproduci playlist;uguale;TRUE;AND;Contesto di festa
53;3;Festa in Casa;social;azione;home;luci;attiva luci dinamiche;uguale;TRUE;;Contesto di festa
54;3;Riparo dal Maltempo;comfort;evento;outside home;Sensori;Individua pioggia;uguale;TRUE;AND;Pioggia
55;3;Riparo dal Maltempo;comfort;condizione;home;tapparelle e finestre;non abbassate o chiuse;uguale;TRUE;OR;Pioggia
56;3;Riparo dal Maltempo;comfort;condizione;outside home;stendino automatico;panni stesi fuori;uguale;TRUE;;Pioggia
57;3;Riparo dal Maltempo;comfort;azione;home;tapparelle e finestre;chiusura tapparelle e finestre;uguale;TRUE;AND;Pioggia
58;3;Riparo dal Maltempo;comfort;azione;outside home;stendino automatico;riporta in casa;uguale;TRUE;;Pioggia
59;4;Musica durante la doccia ;wellbeing;evento;bathroom;movimento;rilevato movimento in doccia;uguale ;TRUE;/;
60;4;Musica durante la doccia ;wellbeing;azione;bathroom;musica;attivazione ;uguale ;TRUE;/;
61;4;Controllo alimenti ;comfort;evento;kitchen;frigo;rilevata presenza alimento;NOT;TRUE;/;
62;4;Controllo alimenti ;comfort;azione ;no;telefono;invio notifica; /;VERO ;AND;
63;4;Controllo alimenti ;comfort;azione ;kitchen;frigo;aggiungi alla lista della spesa;uguale ;VERO ;/;
64;4;Panni stesi in veranda;comfort ;evento;veranda;stendino ;rilevata presenza panni stesi;uguale;TRUE;AND;
65;4;Panni stesi in veranda;comfort ;condizione;no;meteo;bel tempo;uguale ;VERO ; /;
66;4;Panni stesi in veranda;comfort ;azione ;veranda ;pergola;ritrazione ;uguale;OFF; /;
67;4;Rilevare umidità e muffa;health;condizione;home ;rilevatore qualità aria ;rilevata presenza umidità ;maggiore ;60%;AND;
68;4;Rilevare umidità e muffa;health;condizione;home ;rilevatore qualità aria ;rilevata presenza muffa;uguale;TRUE;/;
69;4;Rilevare umidità e muffa;health;azione;home ;purificatore ;purificare aria;uguale;ora ;AND;
70;4;Rilevare umidità e muffa;health;azione;no;telefono;notifica ;uguale;TRUE;/;
71;4;Suonare il citofono quando non sono in casa;comfort/safety;evento ;no;posizione;posizione utente;uguale;ufficio ;AND;
72;4;Suonare il citofono quando non sono in casa;comfort/safety;condizione ;entrance;citofono ;avviso ;uguale;TRUE;/;
73;4;Suonare il citofono quando non sono in casa;comfort/safety;azione;no;telefono;notifica;uguale;TRUE;AND;
74;4;Suonare il citofono quando non sono in casa;comfort/safety;azione;entrance;citofono ;riproduci msg audio;uguale;"""Sono in ufficio""";/;
75;4;Relax serale ;comfort;evento;living room;divano ;rilevata presenza;uguale;TRUE;AND ;
76;4;Relax serale ;comfort;condizione ;living room ;ebook ;utilizzo/lettura;uguale;TRUE;AND;
77;4;Relax serale ;comfort;condizione;no;ora;orario ;dopo;22:00;/;
78;4;Relax serale ;comfort;azione;living room;illuminazione;riduzione luminosità;uguale;BASSO;AND;
79;4;Relax serale ;comfort;azione;living room;camino;attivazione;uguale;TRUE;AND;
80;4;Relax serale ;comfort;azione;living room;divano ;attivazione massaggio;uguale;TRUE;/;
81;5;Risparmio multipresa;energy saving;evento;home;multipresa elettrica;rilevazione stato inattivo;uguale;1 ora;/;
82;5;Risparmio multipresa;energy saving;azione;home;multipresa elettrica;modalità ON/OFF;uguale;OFF;/;
83;5;Ricambio sacchetto;comfort;evento;kitchen;contenitore spazzatura;rilevazione sacchetto ;not;TRUE;/;
84;5;Ricambio sacchetto;comfort;azione;kitchen;igienizzatore;accensione ;uguale;ON;AND;
85;5;Ricambio sacchetto;comfort;azione;kitchen;contenitore spazzatura;inserimento sacchetto;uguale;ON;/;
86;5;Accensione scaldaletto;comfort;evento;no;data e ora;orario;uguale;0,875;AND;
87;5;Accensione scaldaletto;comfort;condizione;home;termostato;temperatura;minore di;15°;/;
88;5;Accensione scaldaletto;comfort;azione;bedroom;scaldaletto;accensione;uguale;ON;/;
89;5;Ricordati di bere;health;condizione;no;misuratore idratazione;misurazione acqua;minore di ;1 litro;AND;
90;5;Ricordati di bere;health;condizione;no;smartwatch;tempo di attività;maggiore di;6 ore;/;
91;5;Ricordati di bere;health;azione;living room;Alexa;notifica vocale;/;"""Ricordati di bere""";AND;
92;5;Ricordati di bere;health;azione;no;app telefono;notifica;/;"""Rischi della disidratazione""";/;
93;5;Culla anticaduta;safety;evento;no;posizione;posizione utente;not;camera da letto;AND;
94;5;Culla anticaduta;safety;condizione;kid room;sensore barre culla;rilevazione movimento;maggiore di;10 cm;/;
95;5;Culla anticaduta;safety;azione;kid room;rete anticaduta culla;accensione;uguale;ON;AND;
96;5;Culla anticaduta;safety;azione;living room;Alexa;notifica vocale;/;"""Pericolo culla""";/;
97;5;Modalità lettura;wellbeing;evento;no;posizione;posizione utente;uguale;camera da letto;/;
98;5;Modalità lettura;wellbeing;condizione;bedroom;Alexa;notifica vocale;uguale;"""modalità lettura""";OR;
99;5;Modalità lettura;wellbeing;condizione;no;smartwatch;modalità lettura;uguale;ON;/;
100;5;Modalità lettura;wellbeing;azione;bedroom;abat-jour;luminosità;uguale;2;AND;
101;5;Modalità lettura;wellbeing;azione;no;smartphone;modalità non disturbare;uguale;ON;/;
102;6;caffè al mattino;comfort;evento;bedroom;sveglia ;suonare;uguale;ON;;
103;6;caffè al mattino;comfort;azione;kitchen;macchina del caffè;acceso/spento;uguale;ON;;
104;6;controllo acquario;comfort/safety;condizione;living room;acquario;rileva temperatura acqua;minore;25;;
105;6;controllo acquario;comfort/safety;azione;living room;riscaldatore;scalda l'acqua;uguale;25;AND;
106;6;controllo acquario;comfort/safety;azione;no;telefono;notifica;/;"""temperatura acquario""";;
107;6;pulizia pavimento;comfort;evento;no;data;tipo di giorno;uguale;festivo;AND;
108;6;pulizia pavimento;comfort;condizione;home;rumba;acceso/spento;uguale;OFF;;
109;6;pulizia pavimento;comfort;azione;home;rumba;acceso/spento;uguale;ON;;
110;6;salvaguardia device;safety;condizione;no;sensore meteo;rilevamento meteo;uguale;temporale;AND;
111;6;salvaguardia device;safety;condizione;home;televisione;acceso/spento;uguale;ON;;
112;6;salvaguardia device;safety;azione;home;televisione;acceso/spento;uguale;OFF;AND;
113;6;salvaguardia device;safety;azione;home;luci;acceso/spento;uguale;OFF;;
114;6;riduci dispersione;energy saving;evento;home;finestra;aperto/chiuso;uguale;APERTO;AND;
115;6;riduci dispersione;energy saving;condizione;home;riscaldamento;acceso/spento;uguale;ON;;
116;6;riduci dispersione;energy saving;azione;home;riscaldamento;acceso/spento;uguale;OFF;AND;
117;6;riduci dispersione;energy saving;azione;no;telefono;notifica;/;"""Riscaldamento spento""";;
118;6;chiusura casa;security;evento;home;porta ingresso ;aperto/chiuso;uguale;chiuso;AND;
119;6;chiusura casa;security;condizione;home;luci;acceso/spento;uguale;OFF;AND;
120;6;chiusura casa;security;condizione;home;finestre;aperto/chiuso;uguale;chiuso;;
121;6;chiusura casa;security;azione;home;allarme;acceso/spento;uguale;ON;AND;
122;6;chiusura casa;security;azione;no;telefono;notifica;/;"""chiusura completa""";;
123;7;Promemoria numero passi;wellbeing/health;evento;no;data e ora;orario;uguale;18.00;And;
124;7;Promemoria numero passi;wellbeing/health;condizione;no;contapassi;rilevazione numero passi;minore di ;10.000;/;
125;7;Promemoria numero passi;wellbeing/health;azione;no;smart watch;notifica scritta;uguale;n° passi mancanti;;
126;7;Risparmio energia salotto;energy saving;condizione;living room;data e ora;intervallo di tempo;maggiore di;20 minuti;And;nessuno è in salotto da più di 20 minuti
127;7;Risparmio energia salotto;energy saving;condizione;living room;sensore del soggiorno;presenza utente;uguale;FALSE;/;nessuno è in salotto da più di 20 minuti
128;7;Risparmio energia salotto;energy saving;azione;living room;luce soggiorno;accensione;uguale;OFF;/;nessuno è in salotto da più di 20 minuti
129;7;Risparmio energia salotto;energy saving;azione;living room;smart tv;accensione;uguale;OFF;/;nessuno è in salotto da più di 20 minuti
130;7;Risparmio energia salotto;energy saving;azione;living room;smart tv;immagine sfondo;uguale;ON;;nessuno è in salotto da più di 20 minuti
131;7;Aria condizionata;comfort;evento;home;termostato ;temperatura interna;maggiore di;24°;And;qualcuno è in casa e ci sono più di 24°
132;7;Aria condizionata;comfort;condizione;home;sensore movimento;presenza utente;uguale;TRUE;/;qualcuno è in casa e ci sono più di 24°
133;7;Aria condizionata;comfort;azione;home;condizionatore;accensione;uguale;ON;;qualcuno è in casa e ci sono più di 24°
134;7;Pulizie settimanali;comfort;condizione;home;sensore movimento;presenza utente;uguale;FALSE;And;nessuno è in casa ed è domenica o giovedì
135;7;Pulizie settimanali;comfort;condizione;no;data e ora;data;uguale;domenica OR giovedì;And;nessuno è in casa ed è domenica o giovedì
136;7;Pulizie settimanali;comfort;azione;home;robot aspirapolvere;accensione;uguale;ON;/;nessuno è in casa ed è domenica o giovedì
137;7;Pulizie settimanali;comfort;azione;bathroom;lavatrice;accensione;uguale;ON;;nessuno è in casa ed è domenica o giovedì
138;7;Controllo citofono;security;evento;entrance;citofono;suono campanello;uguale;TRUE;And;nessuno è in casa e qualcuno suona al citofono
139;7;Controllo citofono;security;condizione;home;sensore di movimento;presenza utente;uguale;FALSE;And;nessuno è in casa e qualcuno suona al citofono
140;7;Controllo citofono;security;condizione;no;dispositivi mobili;modalità non disturbare;uguale;ON;/;nessuno è in casa e qualcuno suona al citofono
141;7;Controllo citofono;security;azione;no;dispositivi mobili;mostra video citofono;uguale;ON;/;nessuno è in casa e qualcuno suona al citofono
142;7;Controllo citofono;security;azione;entrance;display citofono;notifica;uguale;"""Nessuno è in casa""";;nessuno è in casa e qualcuno suona al citofono
143;7;Controllo screen time bambini;wellbeing;evento;no;data e ora;ora;uguale;23.00;And;sono le 23 e i bambini hanno ancora i dispositivi accesi
144;7;Controllo screen time bambini;wellbeing;condizione;no;dispositivi bambini;accensione;uguale;ON;/;sono le 23 e i bambini hanno ancora i dispositivi accesi
145;7;Controllo screen time bambini;wellbeing;azione;kid room;luci;accensione;uguale;OFF;/;sono le 23 e i bambini hanno ancora i dispositivi accesi
146;7;Controllo screen time bambini;wellbeing;azione;no;dispositivi bambini;notifica;uguale;"""E' ora di andare a dormire!""";;sono le 23 e i bambini hanno ancora i dispositivi accesi
147;8;Promemoria medicina;wellbeing/health;condizione ;no;Data e ora ;orario;tra;19:00-20:00;;
148;8;Promemoria medicina;wellbeing/health;azione;bedroom;alexa;notifica vocale;/;"""Prendi la Medicina""";;
149;8;Robot pulizie;comfort;evento;home;movimento;rilevato movimento;uguale;                        FALSO;;
150;8;Robot pulizie;comfort;azione;living room;robot pulizie;accensione;uguale;ON;;
151;8;Robot pulizie;comfort;azione;home;Luci;accensione;uguale;OFF;;
152;8;Controllo Frigo;energy saving;evento;kitchen;Frigo;Rilevata apertura frigo;uguale;                        VERO;and;
153;8;Controllo Frigo;energy saving;condizione ;kitchen;Data e ora ;Tempo frigo aperto;uguale;180 secondi;;
154;8;Controllo Frigo;energy saving;azione;kitchen;frigo;chiusura frigo;uguale;TRUE;;
155;8;Distributore cibo per animali;comfort;condizione ;no;Data e ora;Orario;uguale;                        13:00;and;
156;8;Distributore cibo per animali;comfort;condizione ;kitchen;Sensore distributore;presenza scatoletta;uguale;TRUE;;
157;8;Distributore cibo per animali;comfort;azione;kitchen;Distributore;Apri scatola;uguale;TRUE;;
158;8;Distributore cibo per animali;comfort;azione;kitchen;Distributore;Rilascia contenuto scatola;uguale;TRUE;;
159;8;Culla automatica;comfort/safety;evento;kid room;Culla;Rilevata presenza bambino;uguale;TRUE;and;
160;8;Culla automatica;comfort/safety;condizione ;kid room;Sensore rumore;rilevato rumore;maggiore di;100 decibel;;
161;8;Culla automatica;comfort/safety;azione;kid room;Culla;ondula culla;uguale;TRUE;;
162;8;Culla automatica;comfort/safety;azione;kid room;Cam;accensione;uguale;ON;;
163;8;Ventilazione automatica;safety;evento;kitchen;Fornello;Rilevata accensione fornelli;uguale;TRUE;and;
164;8;Ventilazione automatica;safety;condizione ;kitchen;Rilevatore fumo;Rilevata quantità nerofumo;uguale;TRUE;and;
165;8;Ventilazione automatica;safety;condizione ;kitchen;Rilevatore gas;Rilevata quantità di gas nell'aria;maggiore di;0,0008;;
166;8;Ventilazione automatica;safety;azione;kitchen;Ventola;accendi/spegni;uguale;accendi;;
167;8;Ventilazione automatica;safety;azione;kitchen;Fornello;accendi/spegni;uguale;spegni;;
168;8;Ventilazione automatica;safety;azione;kitchen;Finestra;apri/chiudi;uguale;apri;;
169;9;Piscina;comfort;evento;outside home;Sensori ;Rileva temporale;Uguale;TRUE;;
170;9;Piscina;comfort;azione;garden;Copertura piscina;Attivo/spento;uguale;Attivo;;
171;9;Promemoria medicina;health;condizione;home;data e ora;orario;Tra;08:00 - 09:00;;
172;9;Promemoria medicina;health;azione;no;Smartwatch;Controlla medicina;uguale;prendi la medicina;And;
173;9;Promemoria medicina;health;azione;no;Smartwatch;Verifica conferma lettura;uguale;Nessuna conferma di lettura;;
174;9;Promemoria medicina;health;azione;no;Casse bluetooth;Notifica vocale;Uguale;Prendere la medicina;;
175;9;Smart TV;energy saving;evento;bedroom;Tv;Accesa;uguale;TRUE;And;
176;9;Smart TV;energy saving;condizione;bedroom;sensore tv;Non rivela nessun utente;Maggiore di;30m;;
177;9;Smart TV;energy saving;azione;bedroom;Tv;spegni;;;;
178;9;Sveglia;comfort;condizione;bedroom;Calendario;Data;uguale;Lunedì e martedì;And;
179;9;Sveglia;comfort;condizione ;bedroom;Sveglia;orario;uguale;07:30;;
180;9;Sveglia;comfort;azione;bedroom;Tapparelle;Aperta;/;/;And;
181;9;Sveglia;comfort;azione;kitchen;Macchinetta caffè;Accesa;/;/;;
182;9;Luci dambiente e accensione forno;social;evento;no;Ora;Orario;uguale;20:00;;Quando l'utente organizza cena tra amici
183;9;Luci dambiente e accensione forno;social;condizione;no;ora;Orario;uguale;19:30;;Quando l'utente organizza cena tra amici
184;9;Luci dambiente e accensione forno;social;azione;kitchen;Forno;Acceso;/;/;And;Quando l'utente organizza cena tra amici
185;9;Luci dambiente e accensione forno;social;azione;living room;Luci soffuse;Accese;;;;Quando l'utente organizza cena tra amici
186;9;Focus per studio;organizing;evento;no;Agenda smartphone;Modalità studio;uguale;TRUE;;Quando lutente studia
187;9;Focus per studio;organizing;Condizione;bedroom;TV;Accesa/spenta;Uguale;Accesa;OR;Quando lutente studia
188;9;Focus per studio;organizing;Condizione;no;Smartphone;Acceso/stan-by;Uguale;Acceso;;Quando lutente studia
189;9;Focus per studio;organizing;Azione;bedroom;TV;Accesa/spenta;uguale;Spenta;And;Quando lutente studia
190;9;Focus per studio;organizing;Azione;no;Smartphone;Acceso/stan-by;Uguale;Stand-by;;Quando lutente studia
191;10;Lavaggio terminato;comfort;evento;bathroom;lavatrice;inzia/termina;uguale;termina;/;
192;10;Lavaggio terminato;comfort;azione;no;telefono;notifica;/;"""lavaggio terminato""";/;
193;10;Lampadina non funzionante;comfort;condizione;home;lampadina;funziona;uguale;FALSE;;
194;10;Lampadina non funzionante;comfort;azione;no;Amazon;carrello;uguale;acquista;;
195;10;Lampadina non funzionante;comfort;azione;no;calendario;promemoria;uguale;"""consegna lampadina""";;
196;10;Persona al portone quando non ci sono;security;evento;entrance;campanello;suona;uguale ;TRUE;and;
197;10;Persona al portone quando non ci sono;security;condizione;no;posizione;posizione utente;uguale;non a casa;;
198;10;Persona al portone quando non ci sono;security;azione;no;telefono;Videocamera di sicurezza;/;invia fotogramma;;
199;10;Temperatura bassa;comfort;condizione;home;termostato;temperatura interna;minore di ;18°C;and;
200;10;Temperatura bassa;comfort;condizione;home;posizione;posizione utente;uguale;non a casa;;
201;10;Temperatura bassa;comfort;azione;home;finestre;apri/chiudi;uguale;chiudi;;
202;10;Temperatura bassa;comfort;azione;home;termosifoni;accensione;uguale;TRUE;;
203;10;cane in giardino con irrigatori ;comfort;condizione;garden;irrigatori;accesi/spenti;uguale;accesi;and;
204;10;cane in giardino con irrigatori ;comfort;evento;garden;posizione;posizione cane;uguale;giardino;;
205;10;cane in giardino con irrigatori ;comfort;azione;garden;irrigatori;spegnimento;uguale;TRUE;;
206;10;cane in giardino con irrigatori ;comfort;azione;garden;porta;apri/chiudi;uguale;chiudi;;
207;10;Movimento in giardino;security;condizione;garden;movimento;rilevato movimento;uguale;TRUE;and;
208;10;Movimento in giardino;security;condizione;no;data e ora;orario;tra;23:00-07:00;and;
209;10;Movimento in giardino;security;condizione;no;posizione;posizione utente;uguale;non a casa;;
210;10;Movimento in giardino;security;azione;garden;luce;accensione;uguale;TRUE;;
211;10;Movimento in giardino;security;azione;no;telefono;videocamera di sicurezza;/;invia video;;
212;11;Apertura senza chiavi;comfort;evento;entrance;riconoscimento tramite cellulare;rilevato dispositivo;uguale;TRUE;;
213;11;Apertura senza chiavi;comfort;condizione;no;sensore porta;presenza;uguale;TRUE;and;
214;11;Apertura senza chiavi;comfort;azione;entrance;si apre ;non ho chiavi;uguale;APRI;;
215;11;Video e Sensori se non in casa;security;evento;home;sensore movimento;accensione;uguale;TRUE;and;
216;11;Video e Sensori se non in casa;security;condizione;outside home;movimento;rileva movimento;uguale;TRUE;and;
217;11;Video e Sensori se non in casa;security;azione;home;videocamere;accensione;uguale;ON;and;
218;11;Video e Sensori se non in casa;security;azione;home;videocamere;notifica via sms;/;"""Movimento NON riconosciuto""";;
219;11;Interrompi caricamento  se 100%;energy saving;evento;home;presa corrente;oggetto in carica;uguale;TRUE;;
220;11;Interrompi caricamento  se 100%;energy saving;condizione;home;presa corrente;oggetto carico;uguale ;1;;
221;11;Interrompi caricamento  se 100%;energy saving;azione;home;presa corrente;spegni;uguale;OFF;;
222;11;Musica in doccia;wellbeing;evento;bathroom;sensore movimento;presenza;uguale;TRUE;and;
223;11;Musica in doccia;wellbeing;condizione;bathroom;sensore acqua;apertura ;uguale;APRI;and;
224;11;Musica in doccia;wellbeing;condizione;bathroom;sensore posizione;presenza;uguale;TRUE;and;
225;11;Musica in doccia;wellbeing;azione;bathroom;radio;accensione;uguale;ON;;
226;11;Bagno occupato;wellbeing;condizione;bathroom;sensore movimento;presenza;uguale;TRUE;and;
227;11;Bagno occupato;wellbeing;condizione;bathroom;sensore chiusura;rilevata chiusura;uguale;TRUE;and;
228;11;Bagno occupato;wellbeing;azione;bathroom;schermo/interrutore;accensione occupato;uguale ;ON;and;
229;11;Bagno occupato;wellbeing;azione;bathroom;scaldino;accensione;minore di;15 gradi;;
230;11;Ricette frigo;health/wellbeing;evento;kitchen;sensore apertura ;frigo;uguale;TRUE;;
231;11;Ricette frigo;health/wellbeing;condizione;kitchen;sensore ripiano;frigo;uguale;TRUE;and;
232;11;Ricette frigo;health/wellbeing;condizione;kitchen;sensore lettura;alimenti;uguale;TRUE;;
233;11;Ricette frigo;health/wellbeing;azione;kitchen;schermo frigo;ricetta;/;"""Ricetta creata""";;
234;11;Ricette frigo;health/wellbeing;azione;kitchen;cellulare;messaggio ;/;"""Nuova ricetta creata""";;
235;12;Vestiti asciutti;comfort;evento;no;meteo;pioggia;uguale;TRUE;/;
236;12;Vestiti asciutti;comfort;azione;outside home;stendibiancheria;apri/chiudi;uguale;                          CHIUSO;/;
237;12;Aria calda;comfort/security;evento;bathroom;radiatore;accensione;uguale;FALSE;And;
238;12;Aria calda;comfort/security;azione;bathroom;caldaia;reset;uguale;TRUE;/;
239;12;Aria calda;comfort/security;azione;bathroom;acqua;aumenta di pressione ;uguale;TRUE;/;
240;12;Pollice verde;energy saving;evento;garden;sensore igrometrico;rilevazione scarsa umidità;uguale;TRUE;And;
241;12;Pollice verde;energy saving;condizione;no;ora;orario;tra;10:00 - 14:00;And;
242;12;Pollice verde;energy saving;azione;garden;innaffiamento;attiva / disattiva;uguale;TRUE;/;
